amount,transactions_today,distance_from_home,international,fraud
1878.9551930483387,4,300.5638851119715,1,0
4754.064388985482,18,797.3244634002505,0,0
3662.6497696389115,5,672.9823072736482,0,0
2997.3058361432127,16,436.20876422262313,0,0
788.5330158077583,14,256.25361419433546,0,0
788.4126564776512,19,59.2727867679772,0,0
299.8372247193153,14,337.50557844747254,0,0
4332.218967416927,9,460.01976775474964,1,0
3009.5639085986118,6,687.0238380712053,0,0
3543.282163202267,17,645.971954946431,1,1
112.7166265360542,19,947.3449029318779,1,0
4849.850162288351,12,100.39591905286105,1,0
4163.888777594105,4,336.3401228791364,1,0
1069.572162284598,16,481.57808193689834,0,0
917.3065863634321,11,670.6957938539892,1,0
925.1885041686347,4,495.45169144140635,0,0
1528.1687923680931,17,912.7582319467386,0,0
2628.534593844867,8,608.6723455998135,1,0
2165.4056430241576,14,39.66540969121524,0,0
1463.233409588229,2,113.65596906613429,1,0
3063.1459446646736,11,753.4955614805585,0,0
706.0743646536888,11,715.7876963462943,0,0
1467.8017961907385,6,153.49700182570513,0,0
1838.1455980355215,14,58.90866106566606,1,0
2285.7892212430093,10,578.7178554398686,1,0
3928.028047351138,8,635.7388320267335,0,0
1006.372172970215,7,135.29963751283492,0,0
2576.029847683922,8,473.6193210408153,1,0
2966.148698621592,8,305.83152911841296,0,0
241.78755947278864,2,931.3056456368877,1,0
3041.6488109881775,16,219.1998033894046,1,0
860.9153771995848,9,733.2607259032997,1,0
334.6074489965448,13,518.1339133443375,1,0
4744.9388308941325,12,11.521012026043387,0,0
4828.503845042052,17,516.9985832126177,1,1
4043.902767101141,2,99.47214991950149,1,0
1530.0227081751198,13,659.0621958253116,1,0
497.3838488918555,1,565.5235303815722,1,0
3424.3228022956628,19,10.427227333474566,0,0
2206.3609437606106,11,204.6928295829813,1,0
618.9707918754464,5,776.2250528720227,0,0
2480.932781455238,1,275.77261430202117,1,0
181.5987203649398,13,499.28340116305316,1,0
4547.508806373123,8,311.99861440918374,0,0
1301.3121081840843,6,921.52685639754,1,0
3315.98619892637,17,536.5770177834341,0,0
1565.4382696861608,12,696.1735148560208,1,0
2605.139425677276,1,83.47610469710798,0,0
2738.0842939229656,3,40.335987532752135,0,0
932.42373307238,14,259.2281950671309,0,0
4848.227292545147,8,309.13429225365405,0,0
3877.9127885719618,11,687.6805411799019,0,0
4698.099718405304,14,569.1305027124413,1,1
4475.188478633968,8,374.5796069349853,0,0
